,title,post_url,main_category,sub_category,date
67,"Environment, Property variable 읽기",https://wefree.tistory.com/244,scala,basic,2023-02-03 15:34:12
68,Ior,https://wefree.tistory.com/243,scala,cats2,2023-01-29 16:55:22
69,scalatest-3.2.3 의 property based test,https://wefree.tistory.com/242,scala,scalatest,2023-01-25 19:54:09
70,Cats2 Exercise,https://wefree.tistory.com/241,scala,cats2,2023-01-22 20:35:45
71,Validated,https://wefree.tistory.com/240,scala,cats2,2023-01-19 21:36:15
72,Writer,https://wefree.tistory.com/239,scala,cats2,2023-01-19 20:52:34
73,"fastapi basic application (based on class, DI)",https://wefree.tistory.com/238,python,fastapi,2023-01-18 13:24:59
74,Future[Try[A]] <=> Future[A] 상호간 변환하기,https://wefree.tistory.com/237,scala,basic,2023-01-16 12:58:06
75,Lagom Dependency Injection,https://wefree.tistory.com/236,python,lagom,2023-01-16 11:11:20
76,Error Modeling (with Exception),https://wefree.tistory.com/235,scala,basic,2023-01-16 10:55:30
77,OptionT,https://wefree.tistory.com/234,scala,cats2,2023-01-16 10:34:07
78,Nested,https://wefree.tistory.com/233,scala,cats2,2023-01-16 10:07:31
79,State,https://wefree.tistory.com/232,scala,cats2,2023-01-10 09:49:10
80,Cask Example(+Airframe),https://wefree.tistory.com/231,scala,cask,2022-12-19 02:38:05
81,spark 에서 case class 확장하기,https://wefree.tistory.com/230,scala,chimney,2022-12-19 00:25:51
82,Scala Using,https://wefree.tistory.com/229,scala,basic,2022-12-19 00:03:29
83,새탭을 만든 후 동적 HTML 로 내용 채우기,https://wefree.tistory.com/228,chrome extension,,2022-12-12 23:27:10
84,CORS 우회 하기,https://wefree.tistory.com/227,chrome extension,,2022-12-12 23:14:24
85,content script 에서 iframe 안의 내용을  접근하기,https://wefree.tistory.com/226,chrome extension,,2022-12-12 23:10:14
86,Ref vs Ref.Synchronized,https://wefree.tistory.com/225,zio,zio2,2022-12-09 19:30:54
87,Fiber,https://wefree.tistory.com/224,zio,zio2,2022-11-23 19:36:55
88,Error Models,https://wefree.tistory.com/223,zio,zio2,2022-11-20 23:12:28
89,Option 처리하기,https://wefree.tistory.com/222,zio,zio2,2022-11-20 16:15:00
90,airframe-di: Dependency Injection,https://wefree.tistory.com/221,scala,airframe,2022-11-19 22:42:55
91,F-Bound,https://wefree.tistory.com/220,scala,basic,2022-11-12 20:54:59
92,AsyncIO,https://wefree.tistory.com/219,python,응용,2022-10-29 20:27:38
93,ProcessPoolExecutor,https://wefree.tistory.com/218,python,응용,2022-10-29 18:39:45
94,Time Series 데이터를 시각화,https://wefree.tistory.com/217,pandas,,2022-10-25 21:28:55
95,Python Enum,https://wefree.tistory.com/216,python,기본,2022-10-21 20:44:24
96,Python Closure,https://wefree.tistory.com/215,python,기본,2022-10-21 20:07:58
97,Scala Closure,https://wefree.tistory.com/214,scala,basic,2022-10-21 19:56:58
98,"데이터 전처리, 추가, 삭제, 변환",https://wefree.tistory.com/213,pandas,,2022-10-08 21:39:44
99,복사와 결측치,https://wefree.tistory.com/212,pandas,,2022-10-08 20:23:08
